SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
0.924600005,0.98299998,1.095800042,1.031399965,0.982900023,0.879000008,0.830200016,0.072 ,2.72 
0.962499976,1.014600039,1.091300011,1.014400005,0.922500014,0.842999995,0.806100011,0.051 ,3.09 
0.903699994,0.976800025,1.104900002,1.015300035,0.886200011,0.826099992,0.799099982,0.082 ,3.53 
0.733500004,0.833999991,1.040400028,0.909799993,0.763300002,0.808499992,0.800999999,0.058 ,2.96 
0.802600026,0.903100014,1.118000031,1.007500052,0.797299981,0.812399983,0.803799987,0.080 ,2.88 
0.720300019,0.817499995,1.028900027,0.914200008,0.828000009,0.836099982,0.816699982,0.117 ,4.93 
0.867900014,0.973800004,1.16900003,1.122099996,0.873600006,0.810800016,0.79430002,0.123 ,4.20 
0.834800005,0.887499988,1.00030005,0.930899978,0.92049998,0.855099976,0.824000001,0.070 ,3.55 
0.833000004,0.888700008,0.996200025,0.923900008,0.882600009,0.854600012,0.833599985,0.050 ,3.00 
0.756099999,0.828999996,1.004699945,0.911199987,0.822600007,0.83099997,0.822099984,0.153 ,4.16 
0.806400001,0.880400002,1.036599994,0.935500026,0.845000029,0.827600002,0.812300026,0.112 ,4.59 
0.837599993,0.903100014,1.039499998,0.943799973,0.840200007,0.812600017,0.798699975,0.110 ,4.36 
0.924099982,0.978299975,1.096300006,1.047500014,0.975399971,0.893100023,0.859799981,0.127 ,3.82 
0.846499979,0.940199971,1.113000035,1.050699949,0.837100029,0.801199973,0.795000017,0.127 ,3.48 
0.748899996,0.845600009,1.035899997,0.925800025,0.7579,0.786599994,0.789300025,0.110 ,3.75 
0.875699997,0.922399998,1.045300007,0.938300014,0.994899988,0.818099976,0.777199984,0.078 ,1.75 
0.893000007,0.946799994,1.095900059,0.975600004,0.881600022,0.846300006,0.819800019,0.162 ,3.21 
0.730400026,0.800300002,1.018900037,0.872200012,0.821500003,0.802200019,0.789499998,0.079 ,2.10 
0.700900018,0.774999976,0.964600027,0.814700007,0.749800026,0.768400013,0.763599992,0.133 ,3.28 
0.726000011,0.799499989,0.954599977,0.808499992,0.732299984,0.771600008,0.772700012,0.107 ,3.04 
0.748600006,0.870899975,1.112100005,1.004699945,0.940599978,0.882499993,0.838,0.106 ,2.60 
0.718100011,0.806999981,1.040199995,0.873899996,0.738399982,0.761099994,0.765600026,0.085 ,2.83 
0.75029999,0.85710001,1.094400048,0.923099995,0.703299999,0.749199986,0.758300006,0.071 ,2.74 
1.023300052,1.108800054,1.262599945,1.254099965,1.019400001,0.893899977,0.864099979,0.058 ,1.52 
1.006000042,1.078600049,1.216699958,1.212599993,0.980599999,0.870199978,0.846599996,0.071 ,1.89 
0.756600022,0.822899997,0.992900014,0.886399984,0.776499987,0.756299973,0.755500019,0.230 ,1.99 
0.732800007,0.763400018,0.842800021,0.773299992,0.721000016,0.733900011,0.742500007,0.187 ,1.52 
0.491699994,0.66170001,1.012099981,0.88319999,0.743600011,0.805899978,0.804199994,0.194 ,1.60 
0.792800009,0.885699987,1.102499962,1.015699983,0.79369998,0.780099988,0.780099988,0.120 ,1.12 
0.786499977,0.897199988,1.142400026,1.003700018,0.751999974,0.790499985,0.790000021,0.058 ,1.00 
0.763300002,0.845399976,1.003499985,0.932200015,0.729099989,0.735599995,0.741599977,0.227 ,2.05 
0.78609997,0.867200017,1.029999971,0.940299988,0.747399986,0.746299982,0.74879998,0.192 ,1.86 
0.510200024,0.624199986,0.879400015,0.784300029,0.691999972,0.750699997,0.760599971,0.195 ,2.00 
0.718599975,0.800899982,1.029099941,0.896700025,0.753700018,0.744799972,0.750899971,0.136 ,1.76 
0.746399999,0.837300003,1.042000055,0.926999986,0.719900012,0.738399982,0.745599985,0.103 ,1.16 
0.853799999,0.9199,1.052000046,0.997200012,0.90170002,0.795300007,0.76849997,0.097 ,1.76 
0.88380003,0.961899996,1.08889997,1.019999981,0.847299993,0.779900014,0.763100028,0.082 ,1.44 
0.716400027,0.804899991,0.989499986,0.862900019,0.725899994,0.752900004,0.753499985,0.147 ,2.24 
0.737600029,0.824000001,1.000399947,0.886699975,0.727900028,0.763800025,0.763700008,0.090 ,1.63 
0.732599974,0.819700003,1.008200049,0.904200017,0.725700021,0.746200025,0.748300016,0.101 ,1.50
0.914099991,0.984399974,1.10800004,1.06309998,0.896099985,0.788500011,0.763400018,0.102 ,1.82 
0.91140002,0.984200001,1.122099996,1.052399993,0.860099971,0.780300021,0.760900021,0.109 ,1.44 
0.992600024,1.0625,1.17750001,1.103199959,0.88440001,0.78549999,0.761799991,0.073 ,1.05 
0.942900002,0.995899975,1.076099992,1.005800009,0.868300021,0.781499982,0.763000011,0.048 ,1.18 
0.955200016,1.005300045,1.0977,1.019000053,0.882300019,0.783900023,0.762600005,0.046 ,1.28 
0.765799999,0.844500005,1.050300002,0.975499988,0.867999971,0.772499979,0.756200016,0.106 ,1.33 
0.837499976,0.907500029,1.041100025,0.962300003,0.807799995,0.766099989,0.754100025,0.071 ,1.66 
0.878099978,0.967800021,1.133000016,1.119699955,0.883700013,0.756900012,0.747900009,0.140 ,2.44 
0.970099986,1.037500024,1.168300033,1.167700052,0.9199,0.758400023,0.748899996,0.137 ,1.79 
0.961000025,0.994400024,1.092200041,1.013399959,0.930000007,0.866599977,0.844099998,0.057 ,1.78 
0.922900021,0.950699985,1.013100028,0.930100024,0.832700014,0.786899984,0.773400009,0.049 ,1.30 
0.869499981,0.909399986,0.989400029,0.911599994,0.844799995,0.809800029,0.796199977,0.044 ,1.21 
0.586099982,0.665600002,0.849600017,0.756399989,0.704599977,0.770799994,0.775900006,0.064 ,3.02 
0.915799975,0.973100007,1.085100055,1.056100011,0.916999996,0.825900018,0.806699991,0.083 ,2.50 
0.734399974,0.805499971,0.94749999,0.899699986,0.765299976,0.763199985,0.760999978,0.078 ,1.52 
0.842700005,0.899500012,1.003999949,0.910300016,0.796899974,0.761399984,0.750899971,0.056 ,2.17 
0.817399979,0.862600029,0.953199983,0.859000027,0.76910001,0.751699984,0.745400012,0.050 ,2.34 
0.780499995,0.83039999,0.938899994,0.836000025,0.744599998,0.745000005,0.742799997,0.059 ,2.63 
0.734000027,0.808000028,0.966799974,0.854200006,0.712499976,0.736599982,0.746800005,0.067 ,2.89 
0.772800028,0.845700026,1.015200019,0.90990001,0.719500005,0.730599999,0.737399995,0.065 ,3.10 
0.734300017,0.794099987,0.937900007,0.843900025,0.731999993,0.741900027,0.744700015,0.082 ,3.42 
0.807299972,0.890500009,1.054200053,0.947000027,0.7245,0.732500017,0.740700006,0.063 ,2.87 
0.739600003,0.844900012,1.049200058,0.948000014,0.690800011,0.727699995,0.740400016,0.058 ,2.68 
0.73119998,0.820299983,1.059100032,1.034000039,0.898899972,0.906199992,0.922100008,0.066 ,2.43 
0.949599981,0.952600002,1.072600007,1.011700034,0.889199972,0.887799978,0.878499985,0.048 ,2.20 
0.826200008,0.887399971,1.043799996,0.9296,0.919799984,0.789900005,0.766499996,0.098 ,1.89 
0.658100009,0.753499985,1.000200033,0.842499971,0.744400024,0.795599997,0.793900013,0.218 ,3.41 
0.681200027,0.781499982,1.019899964,0.8829,0.773199975,0.831399977,0.828499973,0.119 ,2.28 
0.684099972,0.783299983,1.029299974,0.89139998,0.769699991,0.821699977,0.819500029,0.087 ,1.95 
0.904200017,0.967299998,1.111400008,1.040400028,0.952099979,0.864899993,0.831700027,0.134 ,2.69 
0.728100002,0.835699975,1.046200037,0.906599998,0.747900009,0.832499981,0.828800023,0.102 ,2.84 
0.715499997,0.827000022,1.022500038,0.84009999,0.703100026,0.781499982,0.786499977,0.048 ,2.14 
1.070199966,1.028699994,1.175899982,1.004600048,1.715499997,1.005599976,0.841799974,0.132 ,1.45 
1.047600031,1.070199966,1.267449975,1.078699946,1.145750046,0.863699973,0.816100001,0.181 ,1.84 
1.062899947,1.047999978,1.199200034,1.019299984,0.908500016,0.779200017,0.769599974,0.120 ,1.26 
1.051800013,1.034800053,1.187999964,1.006100059,0.914399981,0.789900005,0.781400025,0.126 ,1.22 
0.987299979,0.98210001,1.141600013,0.970399976,0.853699982,0.778100014,0.776000023,0.137 ,1.54 
1.037799954,1.025099993,1.134699941,0.97240001,0.829599977,0.802100003,0.797200024,0.048 ,1.24 
0.989799976,0.997300029,1.118849993,0.9745,0.861000001,0.827700019,0.808499992,0.038 ,1.19 
0.899500012,0.96329999,1.088000059,1.009699941,0.95630002,0.788900018,0.762499988,0.140 ,1.50 
0.851899981,0.924899995,1.095100045,0.994300008,0.876299977,0.76849997,0.751800001,0.128 ,1.41 
0.743499994,0.82160002,1.036399961,0.917900026,0.777800024,0.75059998,0.746699989,0.159 ,1.50 
0.709500015,0.789499998,1.023599982,0.899600029,0.767499983,0.757399976,0.757700026,0.160 ,1.38 
0.70630002,0.785300016,1.021700025,0.893400013,0.762700021,0.739300013,0.744700015,0.153 ,2.07 
0.547500014,0.597100019,0.988200009,0.875,0.90170002,0.792850018,0.770600021,0.166 ,2.20 
0.721499979,0.809800029,1.041499972,0.916100025,0.764699996,0.740700006,0.743200004,0.206 ,2.30 
0.706399977,0.811150014,1.052649975,0.958649993,0.734000027,0.765600026,0.76849997,0.136 ,1.80 
0.795400023,0.880400002,1.333099961,1.125699997,1.407299995,1.052299976,0.921199977,0.102 ,0.97 
0.948300004,1.019999981,1.233100057,1.110999942,1.224300027,0.984300017,0.87379998,0.196 ,2.50 
0.923049986,0.973399997,1.060899973,0.987200022,0.893649995,0.810800016,0.78490001,0.078 ,1.11 
0.833249986,0.892750025,1.011250019,0.92444998,0.819850028,0.783949971,0.771899998,0.084 ,1.38 
0.80675,0.874050021,1.02699995,0.925300002,0.813000023,0.791050017,0.782599986,0.098 ,1.34 
0.766799986,0.847599983,1.017199993,0.908100009,0.790199995,0.792900026,0.781899989,0.090 ,1.22 
0.745599985,0.821099997,0.988699973,0.887899995,0.76730001,0.775900006,0.769200027,0.138 ,1.73 
0.731850028,0.797299981,0.928900003,0.859099984,0.768850029,0.771749973,0.765799999,0.084 ,1.19 
0.771499991,0.85799998,1.061100006,0.95539999,0.785899997,0.776799977,0.770500004,0.144 ,3.68 
0.764100015,0.851700008,1.065000057,0.97329998,0.801299989,0.775200009,0.771300018,0.197 ,2.33 
0.328000009,0.284399986,0.476300001,0.493000001,0.611899972,0.860899985,0.879199982,0.081 ,2.46 
0.816900015,0.792900026,0.906300008,0.9102,1.032400012,1.078500032,0.989000022,0.122 ,3.59 
0.947799981,1.003999949,1.126099944,1.053200006,0.997099996,0.879499972,0.841700017,0.113 ,2.69 
0.99089998,1.058799982,1.200399995,1.128399968,0.993799984,0.906099975,0.873000026,0.087 ,2.64 
0.985700011,1.066200018,1.202999949,1.157299995,0.993200004,0.924600005,0.891499996,0.083 ,2.48 
0.90140003,0.978699982,1.163300037,1.08920002,1.077800035,0.903999984,0.863300025,0.087 ,2.33 
1.019600034,1.10529995,1.251099944,1.243299961,1.006000042,0.900900006,0.873000026,0.080 ,2.46 
0.753799975,0.792400002,0.91930002,0.81190002,0.819199979,0.799399972,0.788299978,0.120 ,1.88 
0.769800007,0.872399986,1.15989995,0.965600014,1.537299991,0.933899999,0.820299983,0.097 ,1.66 
0.694000006,0.818199992,1.096899986,0.929099977,1.322199941,0.892199993,0.805100024,0.149 ,2.57 
0.750999987,0.826900005,1.118899941,0.811800003,1.389199972,0.892799973,0.828400016,0.205 ,1.82 
0.678200006,0.722899973,0.957099974,0.883599997,0.697000027,0.736199975,0.762099981,0.065 ,1.64 
0.882099986,0.935000002,1.029700041,0.980599999,0.899699986,0.782100022,0.759000003,0.207 ,1.57 
0.730300009,0.809700012,0.966899991,0.897099972,0.745899975,0.7403,0.744400024,0.216 ,1.51 
0.716600001,0.793900013,0.984399974,0.870800018,0.841899991,0.762000024,0.763800025,0.238 ,2.30 
0.765799999,0.847649992,1.050500035,0.935150027,0.75999999,0.742950022,0.748350024,0.176 ,1.39 
0.747099996,0.83099997,1.01275003,0.902249992,0.705850005,0.733349979,0.743350029,0.120 ,1.27 
0.733399987,0.808700025,1.00090003,0.917999983,0.772400022,0.757499993,0.759599984,0.152 ,2.03 
0.732599974,0.834900022,1.065099955,0.983900011,0.7579,0.738300025,0.748199999,0.133 ,1.38 
0.753700018,0.859899998,1.088500023,1.021600008,0.740199983,0.735400021,0.746200025,0.118 ,1.27 
0.958599985,1.031000018,1.165899992,1.115399957,1.019899964,0.834699988,0.783599973,0.110 ,1.52 
0.963,1.041000009,1.181499958,1.107800007,0.930400014,0.817200005,0.780300021,0.092 ,1.48 
0.735700011,0.796899974,0.994799972,0.875199974,0.793600023,0.788900018,0.779500008,0.234 ,2.59 
0.822799981,0.893899977,1.059800029,0.989199996,0.839999974,0.791400015,0.769200027,0.195 ,1.95 
0.928499997,0.984899998,1.095499992,1.058200002,0.974099994,0.835699975,0.804400027,0.093 ,1.36 
0.844200015,0.915199995,1.06219995,0.98180002,0.87620002,0.819299996,0.799399972,0.080 ,1.41 
0.249599993,0.353500009,0.766300023,0.730799973,0.676199973,0.866900027,0.868799984,0.091 ,3.32 
0.686699986,0.805499971,1.06159997,1.004099965,0.765600026,0.786800027,0.790899992,0.132 ,3.66 
0.630100012,0.743200004,1.011199951,0.979499996,0.756799996,0.753700018,0.767499983,0.153 ,3.00 
